countrycode,co2ton_pp,gni_per_cap
AGO,3.1951056715040878,4040
BDI,0.45861140188539845,253.75
BEN,1.3847875517951136,1160
BFA,1.5731095191454423,717.5
BWA,8.084010509918173,7177.5
CAF,11.534840284712505,451.25
CIV,0.9148675253620817,1682.5
CMR,3.7792222616641604,1460
COD,0.7513700830217215,432.5
COG,1.998168623143039,2841.25
COM,0.6668304803565488,1395
CPV,1.4477272443732754,3327.5
ERI,2.3709002793741942,600
ETH,1.5647898302581433,578.75
GAB,4.151183747496075,8032.5
GHA,1.425650684320761,1797.5
GIN,2.2856666594038013,755
GMB,1.240104577723777,690
GNB,1.5068694746715277,655
GNQ,19.566109348870004,10628.75
KEN,1.5390844727635142,1292.5
LBR,1.7965930718362433,618.75
LSO,2.6467627479385847,1333.75
MDG,1.2548296034270516,493.75
MLI,2.1678047864199117,778.75
MOZ,1.1808034519678277,575
MRT,3.1519187492494627,1660
MUS,5.020139749295505,10485
MWI,0.9167965053522716,402.5
"NAM",6.130142757299953,5273.75
NER,1.9476703752181033,551.25
NGA,1.556135541962036,2443.75
RWA,0.5032542538129939,726.25
SDN,2.6841431961220437,1117.5
SEN,1.924925415053611,1323.75
SLE,1.0120628831481076,546.25
SOM,1.97871305701689,395
SSD,5.7750822446243655,1032
STP,0.8781074543824752,1547.5
SWZ,2.813916212467895,3872.5
SYC,6.875078185735931,13261.25
TCD,4.9359950768162655,841.25
TGO,1.0782545101442826,671.25
TZA,1.9129053829177483,923.75
UGA,1.310713103088613,802.5
ZAF,9.237183439244413,7052.5
ZMB,2.408504642810394,1545
ZWE,2.2154923708975263,1311.25
